news_id,member_id,headline,source,date,url,raw_text,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
news_211463751f,mem_9f51021d60,Eight UCalgary researchers appointed new Canada Research Chairs,ucalgary.ca,2024,https://ucalgary.ca/news/eight-ucalgary-researchers-appointed-new-canada-research-chairs,Eight UCalgary researchers appointed new Canada Research Chairs . (2024),0,both,yes,yes,no
news_6803c30273,mem_41979986b6,Ontarians wagering far more on legal online casino games than on sports betting,www.cbc.ca,2023,https://www.cbc.ca/news/business/ontario-online-gaming-wagers-sports-casino-1.6911479,Ontarians wagering far more on legal online casino games than on sports betting . CBC News. (2023),0,both,yes,yes,no
news_9d827eeccf,mem_41979986b6,Are sports betting ads getting out of control in Canada? Experts weigh in,www.ctvnews.ca,2023,https://www.ctvnews.ca/sports/are-sports-betting-ads-getting-out-of-control-in-canada-experts-weigh-in-1.6399493,Are sports betting ads getting out of control in Canada? Experts weigh in . CTV News. (2023),1,both,yes,yes,no
news_03a0607bf7,mem_41979986b6,"Reopening post-pandemic could trigger Canadian battling addiction, experts warn",globalnews.ca,2021,https://globalnews.ca/news/8030513/reopening-post-covid-addictions-mental-health/,"Reopening post-pandemic could trigger Canadian battling addiction, experts warn . Global News. (2021)",2,both,yes,yes,no
news_ba2188b8c6,mem_3e0ef14a60,New Wood's Homes Research Chair in Children's Mental Health builds bridges to front lines,www.ucalgary.ca,2017,https://www.ucalgary.ca/utoday/issue/2017-05-19/new-woods-homes-research-chair-childrens-mental-heal,New Wood's Homes Research Chair in Children's Mental Health builds bridges to front lines . UToday. (2017),0,both,yes,yes,no
news_e5c514a19f,mem_3e0ef14a60,"Mistakes are Inevitable, Not Irreparable",taylorinstitute.ucalgary.ca,2024,https://taylorinstitute.ucalgary.ca/news/mistakes-are-inevitable-not-irreparable-one-educator-using-simulation-and-role-play-classroom,"Mistakes are Inevitable, Not Irreparable . UToday. (2024)",1,both,yes,yes,no
news_078f5e6d99,mem_0aa82264fe,Eight UCalgary researchers appointed new Canada Research Chairs,ucalgary.ca,2024,https://ucalgary.ca/news/eight-ucalgary-researchers-appointed-new-canada-research-chairs,Eight UCalgary researchers appointed new Canada Research Chairs . (2024),0,both,yes,yes,no
news_b42bec998e,mem_78b75777c4,Program media,cumming.ucalgary.ca,,https://cumming.ucalgary.ca/research/perinatal-stroke/news,Program media .,0,both,yes,yes,no
news_28b6cfdcd5,mem_c6790bf1f8,"‘Mommy Brain’ Is Not a Thing, Say Scientists",www.newsmax.com,2023,https://www.newsmax.com/health/health-news/mommy-brain-pregnancy-mothers/2023/02/08/id/1107838/,"‘Mommy Brain’ Is Not a Thing, Say Scientists . Newsmax. (2023)",0,both,yes,yes,no
news_1997b42892,mem_c6790bf1f8,The Science of “Mom Brain”,www.newmommymedia.com,2022,https://www.newmommymedia.com/episode/the-science-of-mom-brain/,"The Science of “Mom Brain” . ""Newbies: New Moms, New Babies"", New Mommy Media. (2022)",1,both,yes,yes,no
